No;Tanggal;Keterangan;PCS;Harga;Jumlah;;;;
1;06/01/2023; Biaya seng ;1; Rp50,000 ; Rp50,000 ;;;;
2;06 Januari 2023; toto toilet shower thx 20 white ;1; Rp245,000 ; Rp245,000 ;;;;
3;06 Januari 2023;aki;1; Rp1,250,000 ; Rp1,250,000 ;;;;
4;06 Januari 2023;Tali sutra;1; Rp687,500 ; Rp687,500 ;;;;
5;11/01/2023; Pertamax ;1; Rp400,000 ; Rp400,000 ;;;;
6;11 Januari 2023; Lucky dan sostro ;1; Rp33,800 ; Rp33,800 ;;;;
7;14 Januari 2023; Kunci inggris dan cingkrung ;1; Rp130,000 ; Rp130,000 ;;;;
8;17/01/2023;Kabel Listrik;1; Rp308,403 ; Rp308,403 ;;;;
9;17 Januari 2023;colokan dan kabel aterna;1; Rp305,903 ; Rp305,903 ;;;;
10;26 Januari 2023;Kasur kapuk dan bantal;1; Rp300,000 ; Rp300,000 ;;;;
11;26 Januari 2023;Cat Suny 4 kaleng @250,000,-;1; Rp1,000,000 ; Rp1,000,000 ;;;;
12;26 Januari 2023;gas 2 x @120,000,-;1; Rp240,000 ; Rp240,000 ;;;;
13;26 Januari 2023;Saringan Corong dan corong pink;1; Rp45,000 ; Rp45,000 ;;;;
14;26 Januari 2023;Busi 2x @20,000,-;1; Rp40,000 ; Rp40,000 ;;;;
15;26 Januari 2023;Lakban hitam dan bening (besar);1; Rp51,000 ; Rp51,000 ;;;;
16;26 Januari 2023;majun, stik kuas roll, gergaji, stang, sellop lancip, dan bulu ;1; Rp426,000 ; Rp426,000 ;;;;
17;26 Januari 2023;Alfa lakban;1; Rp12,500 ; Rp12,500 ;;;;
18;26 Januari 2023;Mudol 3030 10x@4,000,-;1; Rp40,000 ; Rp40,000 ;;;;
19;26 Januari 2023;injektor dan kubota bias;1; Rp1,200,000 ; Rp1,200,000 ;;;;
20;26 Januari 2023;FC 1805,Rexco 50, sekring tabung, aki N100, airk aki ta,bahan;1; Rp1,910,000 ; Rp1,910,000 ;;;;
21;27/01/2023;Plat 10 MM  140 cm X 100 CM dan Plat 10 MM 100CM X 40 cm;1; Rp3,175,000 ; Rp3,175,000 ;;;;
23;27/01/2023;Perbaikan Las daun cerint dauin  + transfortasi;1; Rp3,250,000 ; Rp3,250,000 ;;;;
24;27/01/2023;Mur dan baut;1; Rp98,000 ; Rp98,000 ;;;;
25;27/01/2023;Besi neser;1; Rp20,000 ; Rp20,000 ;;;;
26;28/06/2023;Bikin Pipa Air Stenlis;1; Rp1,600,000 ; Rp1,600,000 ;;;;
27;18/02/2023;1 pcs incoe astra (aki Aizu 05);1; Rp925,000 ; Rp925,000 ;;;;
28;28/02/2023;Mata tipis (gerinda potong aizu 03 ;1; Rp10,000 ; Rp10,000 ;;;;
29;28/02/2023;R. Paking aizu 03 @1 mtr ;1; Rp150,000 ; Rp150,000 ;;;;
30;28/02/2023;Pergantian uang crew aizu 03 (tanpa nota);1; Rp130,000 ; Rp130,000 ;;;;
31;28/02/2023;Baygon aizu 03;1; Rp35,000 ; Rp35,000 ;;;;
32;28/02/2023;Busi alkon aizu 03;1; Rp25,000 ; Rp25,000 ;;;;
33;28/02/2023;kabel + lampu aizu 03 + aizu 07;1; Rp471,437 ; Rp471,437 ;;;;
34;28/02/2023;Bendera aizu 07;1; Rp50,000 ; Rp50,000 ;;;;
35;28/02/2023;Keran banyu aizu 01, kuas cat, rol cat minyak cat aizu 07;1; Rp237,000 ; Rp237,000 ;;;;
36;28/02/2023;foto copy dukoment zidni 06;1; Rp22,500 ; Rp22,500 ;;;;
37;01/03/2023;F, solor fe 1805 (2 X @90,000,-);2; Rp90,000 ; Rp180,000 ;;;;
38;01/03/2023;F oli 0-1805-1 (2 X @100,000,-);2; Rp100,000 ; Rp200,000 ;;;;
39;01/03/2023;F oli 0-1808 (2 X @100,000,-);2; Rp100,000 ; Rp200,000 ;;;;
40;01/03/2023;Rexlo 50 (2 X @45,000,-);2; Rp45,000 ; Rp90,000 ;;;;
41;01/03/2023;H3 24l (6 X @25,000,-);6; Rp25,000 ; Rp150,000 ;;;;
42;01/03/2023;Hijau Sun 5L (2 kaleng X @250,000,-);2; Rp250,000 ; Rp500,000 ;;;;
43;01/03/2023;Merah Sun 5L (2 kaleng X @250,000,-);2; Rp250,000 ; Rp500,000 ;;;;                                                                                                                                                                                                                                    
44;01/03/2023;Putih Internasional 5L (2 kaleng X @275,000,-);2; Rp275,000 ; Rp550,000 ;;;;
45;01/03/2023;Tali cir (100 Mtr X @37,500,-);100; Rp37,500 ; Rp3,750,000 ;;;;
46;01/03/2023;B 70 Bando;1; Rp140,000 ; Rp140,000 ;;;;
47;01/03/2023;Majun (12 kg X @11,000,-);12; Rp11,000 ; Rp132,000 ;;;;
48;01/03/2023;115-140-13 (seol girbox);2; Rp75,000 ; Rp150,000 ;;;;
49;01/03/2023;Flaskdisk;1; Rp120,000 ; Rp120,000 ;;;;
50;01/03/2023;Kertas HVS;1; Rp49,000 ; Rp49,000 ;;;;
51;06/03/2023;Batu pot (mata gerinda potong);2; Rp5,000 ; Rp10,000 ;;;;
52;06/03/2023;batu pot protek (mata gerinda potong);3; Rp8,000 ; Rp24,000 ;;;;
53;06/03/2023;Beli ban dafrah ;10; Rp35,000 ; Rp350,000 ;;;;
54;09/03/2023;B 24 bardo (vanbel bando);2; Rp42,000 ; Rp84,000 ;;;;
55;09/03/2023;Delta 20A (ces aki);1; Rp850,000 ; Rp850,000 ;;;;
56;16/03/2023;M.sodi 21 N (kunci shok 21);1; Rp30,000 ; Rp30,000 ;;;;
57;16/03/2023;M.sodi 14 N (kunci shok 14);1; Rp22,000 ; Rp22,000 ;;;;
58;16/03/2023;M.sodi 10 N (kunci shok 10);1; Rp20,000 ; Rp20,000 ;;;;
59;16/03/2023;K. Filter sabuk T (kunci filter);1; Rp97,500 ; Rp97,500 ;;;;
60;16/03/2023;K. Ungpa 10 n (kunci ring pas);1; Rp17,000 ; Rp17,000 ;;;;
61;16/03/2023;l ungpa 8 n (kunci ring pas);1; Rp15,000 ; Rp15,000 ;;;;
62;18/03/2023;Selang minyak besar;5; Rp10,000 ; Rp50,000 ;;;;
63;18/03/2023;Selang minyak;1; Rp2,000 ; Rp2,000 ;;;;
64;18/03/2023;kelam;6; Rp3,000 ; Rp18,000 ;;;;
65;20/03/2023;G x 200 Tangki (tangki alkon);1; Rp100,000 ; Rp100,000 ;;;;
66;20/03/2023;G x 200 Knalpot (knalpot alkon);1; Rp75,000 ; Rp75,000 ;;;;
67;20/03/2023;Sel Gearbox 140x170;2; Rp150,000 ; Rp300,000 ;;;;
68;20/03/2023;Sok alkon 3 x2;2; Rp35,000 ; Rp70,000 ;;;;
69;20/03/2023;Bantex;1; Rp33,000 ; Rp33,000 ;;;;
70;21/03/2023;Majun;10; Rp12,000 ; Rp120,000 ;;;;
71;21/03/2023;Lem epoxy ;1; Rp75,000 ; Rp75,000 ;;;;
72;21/03/2023;Tang buaya;1; Rp97,500 ; Rp97,500 ;;;;
73;21/03/2023;Slang las double;15; Rp32,500 ; Rp487,500 ;;;;
74;21/03/2023;Stang kunci shoc;1; Rp215,000 ; Rp215,000 ;;;;
75;21/03/2023;Cat putih;1; Rp65,000 ; Rp65,000 ;;;;
76;21/03/2023;F oli 0-1012;2; Rp165,000 ; Rp330,000 ;;;;
77;21/03/2023;Filter rakur PM 2020;2; Rp125,000 ; Rp250,000 ;;;;
78;21/03/2023;Rexco 50;1; Rp45,000 ; Rp45,000 ;;;;
79;21/03/2023;Gamuk cobra;1; Rp35,000 ; Rp35,000 ;;;;
80;21/03/2023;Lampo sorot hella;1; Rp650,000 ; Rp650,000 ;;;;
81;21/03/2023;WP 3 Tsurumi (Alkon pondasi alkon);1; Rp3,850,000 ; Rp3,850,000 ;;;;
82;21/03/2023;Rangka lup (rangka alkon);1; Rp300,000 ; Rp300,000 ;;;;
83;21/03/2023;Bola Lampu;1; Rp88,200 ; Rp88,200 ;;;;
84;28/03/2023;Perbaikan ces aki dll;1; Rp600,000 ; Rp600,000 ;;;;
85;29/03/2023;Pertamina Sae-15w-40 (olie);2; Rp5,600,000 ; Rp11,200,000 ;;;;
86;30/03/2023;Bayar perbaikan girbox ;1; Rp800,000 ; Rp800,000 ;;;;
87;31/03/2023;Regolator (oksigin) ;1; Rp150,000 ; Rp150,000 ;;;;
88;31/03/2023;Regolator NIS (LPG);1; Rp70,000 ; Rp70,000 ;;;;
89;31/03/2023;Fotocopy dan laminating;1; Rp90,000 ; Rp90,000 ;;;;
90;27/04/2023;bayar pembuatan tambatan untuk ikat tongkang di sungai putting (pembelian batang nyiur);4; Rp1,000,000 ; Rp4,000,000 ;;;;
91;28/04/2023;sentar kepala, inveter;1; Rp312,000 ; Rp312,000 ;;;;
92;28/04/2023;nozzle, remis paking, gemuk,lem red;1; Rp400,000 ; Rp400,000 ;;;;
93;28/04/2023;jas hujan;1; Rp65,000 ; Rp65,000 ;;;;
94;28/04/2023;bendera kapal;4; Rp12,500 ; Rp50,000 ;;;;
95;28/04/2023;selang spiral, selang benang, pompa celup aki, remot kemudi;1; Rp1,430,000 ; Rp1,430,000 ;;;;
96;28/04/2023;kipas angin;1; Rp185,000 ; Rp185,000 ;;;;
97;28/04/2023;kelam;1; Rp34,000 ; Rp34,000 ;;;;
98;28/04/2023;obat, vitamin,masker;1; Rp176,500 ; Rp176,500 ;;;;
99;28/04/2023;sarung tangan;1; Rp35,000 ; Rp35,000 ;;;;
100;28/04/2023;tali sir uk 6, segel 8 1/2 dan tali uk line;1; Rp5,010,000 ; Rp5,010,000 ;;;;
101;29/04/2023;lampu sorot hella;1; Rp650,000 ; Rp650,000 ;;;;
102;29/04/2023;aki + banyu aki;1; Rp1,095,000 ; Rp1,095,000 ;;;;
103;29/04/2023;tong banyu + pel lantai;1; Rp197,000 ; Rp197,000 ;;;;
104;29/04/2023;sleng benang dan kelum;1; Rp69,000 ; Rp69,000 ;;;;
105;29/04/2023;Selang benang dan kelam;1; Rp104,000 ; Rp104,000 ;;;;
106;01/05/2023;perbaikan roda daun4, center merubah feet dal las daun pada roda;1; Rp2,100,000 ; Rp2,100,000 ;;;;
107;04/05/2023;ATK dan perbaikan printer;1; Rp567,000 ; Rp567,000 ;;;;
108;08/05/2023;1 roll (11 mtr biru tsk) dan 1 roll (11 mtr merah);1; Rp1,485,000 ; Rp1,485,000 ;;;;
109;03/05/2023;Besi sok;1; Rp40,000 ; Rp40,000 ;;;;
110;03/05/2023;Aki Samsung dan Rb Aki;1; Rp100,000 ; Rp100,000 ;;;;
111;03/05/2023;kabel;1; Rp96,000 ; Rp96,000 ;;;;
112;03/05/2023;Ampu Gorel;1; Rp65,000 ; Rp65,000 ;;;;
113;05/05/2023; Remot atgn yamasuka ;1; Rp850,000 ; Rp850,000 ;;;;
114;07/05/2023; Perbaikan bronstop ;1; Rp10,500,000 ; Rp10,500,000 ;;;;
115;08/05/2023; Kabel remot kemudi ;1; Rp1,485,000 ; Rp1,485,000 ;;;;
116;12/05/2023;Piston baja, ring piston,paking set,metal jacan, metal duduk,liner,pin piston extraNtreebon red;1; Rp28,500,000 ; Rp28,500,000 ;;;;
117;13/05/2023;Amper Gerbox ;1; Rp250,000 ; Rp250,000 ;;;;
118;13/05/2023; oli pertamina sae-40 ;1; Rp11,200,000 ; Rp11,200,000 ;;;;
119;16/05/2023; Tutup klip, plat dan per klip ;1; Rp700,000 ; Rp700,000 ;;;;
120;22/05/2023; Filter FL 1805 ;1;; Rp285,000 ;;;;
121;23/05/2023;Upah over hull TB. Aizu 7;1; Rp8,000,000 ; Rp8,000,000 ;;;;
122;23/05/2023;1 set elbowt rzakit yk;1; Rp410,000 ; Rp410,000 ;;;;
123;24/05/2023;Ganti selenoid baru dan jasa service;1; Rp950,000 ; Rp950,000 ;;;;
124;24/05/2023;Tarikan stater dan M. jalan RD 65;1; Rp135,000 ; Rp135,000 ;;;;
125;24/05/2023;Matrai;1; Rp23,000 ; Rp23,000 ;;;;
126;28/05/2023;ptt kenwood;1; Rp250,000 ; Rp250,000 ;;;;
127;29/05/2023;Vanbel B 63;1; Rp63,000 ; Rp63,000 ;;;;
128;29/05/2023;Daimaru aluminium foil;1; Rp220,000 ; Rp220,000 ;;;;
129;29/05/2023;Hose 1, Nozzel Rd 65 dan kaca filter RD65;1; Rp285,000 ; Rp285,000 ;;;;
130;29/05/2023;Kawat RB 3,2 m , Kawat las Rb 4,0 n, Sikat kawat best guard, sikat kawat C-Mart dan klam 1 ?2 ;1; Rp415,000 ; Rp415,000 ;;;;
131;29/05/2023;sekring tabung, H3 24, Fe 1005, 0-1012, PM 2020, 0-1805-1 dan 0-1806;1; Rp1,210,000 ; Rp1,210,000 ;;;;
132;29/05/2023;bantal kapuk dan guling kapuk;1; Rp430,000 ; Rp430,000 ;;;;
133;29/05/2023;sekat WC, Kaset dan sendok;1; Rp57,000 ; Rp57,000 ;;;;
134;29/05/2023;Tali Sir 6 dan majun;1; Rp1,020,000 ; Rp1,020,000 ;;;;
135;31/05/2023;Solar;5; Rp10,000 ; Rp50,000 ;;;;
136;31/05/2023;Makan;1; Rp100,000 ; Rp100,000 ;;;;
137;03/06/2023;Batrai;1; Rp15,000 ; Rp15,000 ;;;;
138;03/06/2023;makan siang ;1; Rp127,000 ; Rp127,000 ;;;;
139;03/06/2023;Filter dan oli;1; Rp566,300 ; Rp566,300 ;;;;
140;03/06/2023;Remot yamasuka;1; Rp850,000 ; Rp850,000 ;;;;
141;06/06/2023; Biaya seng ;1; Rp50,000 ; Rp50,000 ;;;;
142;06/06/2023; toto toilet shower thx 20 white ;1; Rp245,000 ; Rp245,000 ;;;;
143;06/06/2023;aki;1; Rp1,250,000 ; Rp1,250,000 ;;;;
144;06/06/2023;Tali sutra;1; Rp687,500 ; Rp687,500 ;;;;
145;11/06/2023; Pertamax ;1; Rp400,000 ; Rp400,000 ;;;;
146;11/06/2023; Lucky dan sostro ;1; Rp33,800 ; Rp33,800 ;;;;
147;14/06/2023; Kunci inggris dan cingkrung ;1; Rp130,000 ; Rp130,000 ;;;;
148;17/06/2023;Kabel Listrik;1; Rp308,403 ; Rp308,403 ;;;;
149;17/06/2023;colokan dan kabel aterna;1; Rp305,903 ; Rp305,903 ;;;;
150;26/06/2023;Kasur kapuk dan bantal;1; Rp300,000 ; Rp300,000 ;;;;
151;26/06/2023;Cat Suny 4 kaleng @250,000,-;1; Rp1,000,000 ; Rp1,000,000 ;;;;
152;26/06/2023;gas 2 x @120,000,-;1; Rp240,000 ; Rp240,000 ;;;;
153;26/06/2023;Saringan Corong dan corong pink;1; Rp45,000 ; Rp45,000 ;;;;
154;26/06/2023;Busi 2x @20,000,-;1; Rp40,000 ; Rp40,000 ;;;;
155;26/06/2023;Lakban hitam dan bening (besar);1; Rp51,000 ; Rp51,000 ;;;;
156;26/06/2023;majun, stik kuas roll, gergaji, stang, sellop lancip, dan bulu ;1; Rp426,000 ; Rp426,000 ;;;;
157;26/06/2023;Alfa lakban;1; Rp12,500 ; Rp12,500 ;;;;
158;26/06/2023;Mudol 3030 10x@4,000,-;1; Rp40,000 ; Rp40,000 ;;;;
159;26/06/2023;injektor dan kubota bias;1; Rp1,200,000 ; Rp1,200,000 ;;;;
160;26/06/2023;FC 1805,Rexco 50, sekring tabung, aki N100, airk aki ta,bahan;1; Rp1,910,000 ; Rp1,910,000 ;;;;
161;27/06/2023;Plat 10 MM  140 cm X 100 CM dan Plat 10 MM 100CM X 40 cm;1; Rp3,175,000 ; Rp3,175,000 ;;;;
162;27/06/2023;;1;;;;;;
163;27/06/2023;Perbaikan Las daun cerint dauin  + transfortasi;1; Rp3,250,000 ; Rp3,250,000 ;;;;
164;27/06/2023;Mur dan baut;1; Rp98,000 ; Rp98,000 ;;;;
165;27/06/2023;Besi neser;1; Rp20,000 ; Rp20,000 ;;;;
166;28/06/2023;Bikin Pipa Air Stenlis;1; Rp1,600,000 ; Rp1,600,000 ;;;;
167;03/07/2023;Bikin kemudi, tembak nozel dan ganti nozel;1; Rp3,500,000 ; Rp3,500,000 ;;;;
168;03/07/2023;Panbes kanipol;1; Rp500,000 ; Rp500,000 ;;;;
169;03/07/2023;Oksegen 2 tabung;1; Rp120,000 ; Rp120,000 ;;;;
170;06/07/2023;Tali Surta 30 M;1; Rp825,000 ; Rp825,000 ;;;;
171;06/07/2023; Gerbox dll ;1; Rp460,000 ; Rp460,000 ;;;;
172;06/07/2023; 1 pak K las RB26 ;1; Rp175,500 ; Rp175,500 ;;;;
173;07/07/2023;perbaikan, ganti gerbok dan cincin has gerbok;1; Rp3,000,000 ; Rp3,000,000 ;;;;
174;07/07/2023;stempel laser;1; Rp200,000 ; Rp200,000 ;;;;
175;10/07/2023; Pakop Rd 8 dan TH rebon Grey ;1; Rp440,000 ; Rp440,000 ;;;;
176;10/07/2023; teng zuur  ;1; Rp130,000 ; Rp130,000 ;;;;
